Platform,Course,anon_screen_name,Week,Effort (sec)
OpenEdX,Engineering/Networking-SP/SelfPaced,7997014fd17f439192ef3c686b48054343f8cfc6,12,1385
OpenEdX,Engineering/Networking-SP/SelfPaced,7997014fd17f439192ef3c686b48054343f8cfc6,13,28532
OpenEdX,Engineering/Networking-SP/SelfPaced,4713662608f2f349448960b734f2bebd5697c941,1,1984
OpenEdX,Engineering/Networking-SP/SelfPaced,4713662608f2f349448960b734f2bebd5697c941,3,883
OpenEdX,Engineering/Networking-SP/SelfPaced,9d96041425ce402bbfb56d0191138aaf0a5601b2,13,1800
OpenEdX,Engineering/Networking-SP/SelfPaced,9d96041425ce402bbfb56d0191138aaf0a5601b2,16,3236
OpenEdX,Engineering/Networking-SP/SelfPaced,a30c49421af20cfa3621ed78ecedfd5a89b5310e,6,624
OpenEdX,Engineering/Networking-SP/SelfPaced,a30c49421af20cfa3621ed78ecedfd5a89b5310e,7,2621
OpenEdX,Engineering/Networking-SP/SelfPaced,daf9e56dc05450915eda4da1abf52d2d695226c0,5,203
OpenEdX,Engineering/Networking-SP/SelfPaced,1b952dee83e5cab980e219fc7a4e9da739e66dcd,20,1295
OpenEdX,Engineering/Networking-SP/SelfPaced,1b952dee83e5cab980e219fc7a4e9da739e66dcd,21,1752
OpenEdX,Engineering/Networking-SP/SelfPaced,1b952dee83e5cab980e219fc7a4e9da739e66dcd,23,11486
OpenEdX,Engineering/Networking-SP/SelfPaced,1b952dee83e5cab980e219fc7a4e9da739e66dcd,24,55
OpenEdX,Engineering/Networking-SP/SelfPaced,27309dfc2ead64760d365f5538daed7a702b0b64,5,66
OpenEdX,Engineering/Networking-SP/SelfPaced,27309dfc2ead64760d365f5538daed7a702b0b64,9,47
OpenEdX,Engineering/Networking-SP/SelfPaced,a244b4460736011a9d840588c90a85c4fb65d076,1,1799
OpenEdX,Engineering/Networking-SP/SelfPaced,5f3072277c4938fb6ef4bf15f8b06b41bd9713c2,18,5088
OpenEdX,Engineering/Networking-SP/SelfPaced,5f3072277c4938fb6ef4bf15f8b06b41bd9713c2,20,5557
OpenEdX,Engineering/Networking-SP/SelfPaced,5f3072277c4938fb6ef4bf15f8b06b41bd9713c2,22,1437
OpenEdX,Engineering/Networking-SP/SelfPaced,5f3072277c4938fb6ef4bf15f8b06b41bd9713c2,23,1788
OpenEdX,Engineering/Networking-SP/SelfPaced,a6cda76c57ba31509963e4c7c4cb61c653e32271,23,397
OpenEdX,Engineering/Networking-SP/SelfPaced,c3956f4139d5e5746d43a80709bff511d3c15724,6,3338
OpenEdX,Engineering/Networking-SP/SelfPaced,c3956f4139d5e5746d43a80709bff511d3c15724,8,432
OpenEdX,Engineering/Networking-SP/SelfPaced,c3956f4139d5e5746d43a80709bff511d3c15724,9,699
OpenEdX,Engineering/Networking-SP/SelfPaced,61da1bae9fd06e19f577ec4517e7d4c9b9b5436d,5,502
OpenEdX,Engineering/Networking-SP/SelfPaced,3d0355a44d691756a74db064e29395060cb83460,22,477
OpenEdX,Engineering/Networking-SP/SelfPaced,3d0355a44d691756a74db064e29395060cb83460,23,5959
OpenEdX,Engineering/Networking-SP/SelfPaced,3d0355a44d691756a74db064e29395060cb83460,24,13907
